abstract,authors,en_abstract,en_keywords,en_title,keywords,pdf_url,title,url
"摘要:结合微粒群算法(PSO)具有执行速度快、受问题维数变化影响小的优点及支持向量机算法(SVM)结构风险最小化原理,构建了基于离散二进制微粒群(BPSO)与支持向量机的耕地驱动力因子选择方法,使用特征子集中确定的特征来训练支持向量回归机,用适应度函数来评价回归机的性能,指导BPSO的搜索。实验表明,该方法能有效地提取出耕地驱动因子的特征子集,从而降低了指标的维数,保留了关键信息,以获得知识的最小表达。",Keywords:drivingforces/particleswarmoptimization/supportvectormachines/featuresubsetselection,"Abstract:Theparticleswarmoptimization(PSO)hasthecharacterofthehighimplementingspeed.Itislittleaffectedbydimension.Thesupportvectormachines(SVM)isbasedonthetheoryofstructuralriskminimization.Combiningthebinaryparticleswarmoptimization(BPSO)andtheSVM,thefeaturesubsetselectionfordrivingforcesofcultivatedlandisconstructed.ThismethodusesthefeaturesdefinedinthefeaturesubsettotraintheSVMwhichisevaluatedbyfitnessfuction.TheresultoffitnessfuctionisutilizedtodirecttheBPSOtosearch.Thecasestudyshowsthatthismethodhastheexcellentefficiencytoselectthefeaturesubset.",,FeatureSubsetSelectionforDrivingForcesofCultivatedLandBasedonPSO-SVM,关键词:驱动力/微粒群/支持向量机/特征选择,,将微粒群和支持向量机用于耕地驱动因子选择的研究,http://ch.whu.edu.cn:80/article/id/864
"摘要:系统研究了利用X射线脉冲星观测量进行动力学定轨的全过程,给出了观测数据仿真的基本流程,并利用仿真数据对各项因素对定轨精度的影响进行了量化分析。",Keywords:X-raypulsar/timeofarrival(TOA)/datasimulation/orbitdetermination,"Abstract:ComparedtoexistingsatellitenavigationsystemsX-raypulsarnavigationcanenlargetheservicescope.Anditcanimprovetheanti-jammingcharacteristicandautonomousnavigationcapability.InthispaperweanalyzedtheprocessofdynamicorbitdeterminationusingX-raypulsarmeasurementsystemically.Thebasicstepsofsimulatingtheobservationmeasurementarepresented.Quantificationanalysesarecarriedoutaimedtostudytheinfluenceofallkindsoferroronorbitdetermination.Resultsindicatethatcalculatingspacecraftpositionandclockerrorsimultaneouslycanreducetheinfluenceofpositionofdatummark.Becauseitcanabsorbthesystematicalerror.Butthecalculatedclockerrorcannotreflecttheintrinsicalerrorofatomicclock.Soweneedothermethodstocorrecttheclockerror.Phaseerrorandpulsarvisibilityarethemajorinfluenceinorbitdetermination.Andwhenwewanttoincreasethenumberofobservedpulsar,observationerrormustbetakeintoaccountinorderavoidthedecreaseoforbitdeterminationprecision.",,SpacecraftDynamicOrbitDeterminationBasedonX-rayPulsar,关键词:X射线脉冲星/脉冲到达时间/数据模拟/轨道确定,,基于X射线脉冲星的航天器动力学定轨,http://ch.whu.edu.cn:80/article/id/902
"摘要:考虑实用性和合理性,将线元看成离散点的集合,将线的不确定性看成点的不确定性的聚合体,将线元的位置不确定性模型看成以各点误差椭圆的长半轴E为半径的误差圆的聚合体,建立了以线元上任意点处的误差椭圆的长半轴E为带宽的线元不确定性εE模型。给出了基于该模型衡量线元位置不确定性的三种度量指标:可视化图形、平均误差带宽和误差带的面积。最后,将该模型与εσ模型和εm模型进行了比较。",Keywords:planelinesegment/positionaluncertainty/εEmodel/errorband/errorellipse,"Abstract:Firstly,weproposeanewmodelnamedεEmodeltomeasurelinesegmentspositionaluncertainty,whichconsiderthesemilong-axisoftheerrorellipseatanypointonthelinesegmentasthewidthoftheerrorband,thatis,thepositionaluncertaintyoflinesegmentisconsideredasasetoferrorcircleswiththeradiusoftheerrorellipse'ssemilong-axisatanypointontheline.Secondly,theanalyticexpressionsoftheerrorbandboundarylinefortheεEmodeloflinesegmentarededuced,theparameterequationsoftheerrorbandboundaryaregotten.Thirdly,threeindexesaregiventomeasuretheprecisionofthelineuncertaintybasedontheεEmodel:thevisualizationgraph,theaverageerrorbandwidthandtheerrorbandarea.Atlast,theεEmodeliscomparedwiththeεEmodelandtheεEmodel.TheoryandpracticeshowthatεEmodelissimpleincalculationbuttoolimitedintheerrorbandwidth,εEmodelisscientificintheorybutcomplexincalculation,andmodelisscientificintheoryandconvenientinpracticethoughover-widthintheerrorbandwidth.",,APositionalUncertaintyε_EModelforLineSegmentConsideringErrorEllipseLongSemi-axisasErrorBandWidth,关键词:平面线元/位置不确定性/εE模型/误差带/误差椭圆,,以误差椭圆长半轴表示带宽的线元位置不确定性ε_E模型,http://ch.whu.edu.cn:80/article/id/897
"摘要:针对中国实时精密定位服务系统的建设,提出了一种具有全球先验信息的导航卫星轨道确定方法,其关键点在于先验轨道信息权函数的确定。首先在预报轨道误差特性分析的基础上,给出了采用一阶高斯-马尔科夫模型进行先验信息权函数的建立方法;然后对先验信息和区域观测数据赋予相应权,进行联合定轨。",Keywords:regionalaugmentationsystem/regionalorbitdetermination/real-timeorbitdetermination/predictedorbit/Gauss-Markov,"Abstract:TosatisfytheconstructionofCHINAReal-TimePrecisePositioningServiceSystem,amethodoforbitdeterminationofnavigationsatellitebasedonprioriglobalinformation(predictedorbit)isdeveloped.Thekeyisthathowtheweightingmatricesofprioriinformationarecomputed.Firstlyitsmathematicmodelisexpressed.Thenthecharacterizationofpredictedorbiterrorisanalyzed,andamethodofachievingtheprioriinformation'sweightingmatricesbyGauss-Markovprocessisaddressed.Atlastorbitisdeterminedcombiningtheprioriinformationandregionaltrackingstations'data.Experimentprovesthatthismethodisfeasibleandgetsrelativelyencourageresult.",,RegionalOrbitDeterminationofNavigationSatelliteBasedonGlobalPrioriInformation,关键词:区域增强系统/区域定轨/实时定轨/轨道预报/高斯-马尔科夫过程,,具有先验信息的区域增强系统卫星轨道确定方法,http://ch.whu.edu.cn:80/article/id/906
"摘要:为了准确获取结构自振特性,通过分析多路径误差和结构振动的频率特征,采用小波包分解和频谱分析相结合的方法,在不同尺度下进行特定成分的提取,再作频率特性分析。实验结果表明,小波包能够有效地分离多路径误差,实现结构振动特征的提取,GPS测定的结构自振频率与理论值吻合较好,并且具有很好的稳定性。",Keywords:GPS/waveletpacket/naturalvibrationfeatureextraction/multipathseparation,"Abstract:MultipathisthedominanterrorsourceinthestructuralvibrationmonitoringusingGPS.Inordertoobtainthecharacteristicsofstructurenaturalvibrationaccurately,boththefrequencycharacteristicsofthemultipathandthestructuralvibrationareanalyzed,thenwaveletpacketdecompositionisemployedtoextractspecificalcomponentsindifferentscalesandspectralanalysisisadoptedforfrequencycharacteristicanalysis.Experimentalresultsshowthatthewaveletpacketcanbeusedtoseparatemultipaherrorandextractthevibrationfeatureeffectively.Inaddition,theactualvibrationfrequencyobtainedusingGPSconformsitstheoreticalvalueandithashighstability.",,FeatureExtractionofStructureNaturalVibrationandMultipathSeparationBasedonWaveletPacketDecomposition,关键词:GPS/小波包/自振特征提取/多路径误差分离,,基于小波包分解的结构自振特征提取及多路径误差分离,http://ch.whu.edu.cn:80/article/id/905
"摘要:多路径效应是GPS高精度实时动态变形监测中的主要误差源,通过经验模态分解方法对三维坐标序列进行多尺度分解和重构,提取作为趋势项的多路径模型;并利用多路径效应的周日强相关性特点,对第二天动态坐标进行多路径效应去除,得到削弱多路径效应后的坐标序列。研究结果表明,多路径效应削弱后的坐标序列稳定性明显增强,坐标的精度明显提高。",Keywords:empiricalmodedecomposition/multipatheffects/dynamicdeformationmonitoring,"Abstract:TheGPSsignalmultipatheffectsisconsideredasamajorerrorsourcesforthehigh-precisionreal-timedynamicdeformationmonitoring.Thetrendbeingextractedfromthethree-dimensionalcoordinateseriesaremultipathmodelbyusingempiricalmodedecomposition(EMD)method;Theresearchdemonstratesthatthemultipatheffectshavestrongcorrelationbetweentwosuccessivedays,andafterthecoordinateseriesbeingcorrectedthroughthefirstday'smultipathmodel,thenewcoordinateseriesgenerate.Theresultshowsthatthestabilityandtheaccuracyaremarkedlyimprovedaftermultipatheffectsbeingremoved.",,ResearchonReal-timeCorrectingModelofMultipathinGPSDynamicDeformationMonitoring,关键词:经验模态分解/多路径效应/动态变形监测,,动态变形监测多路径实时修正模型研究,http://ch.whu.edu.cn:80/article/id/920
"摘要:基于Shepard插值模型的基本原理,从权函数的构造和采样点的选取两个方面对Shepard函数逼近模型和算法实现进行了改进。新模型的权函数具有更高的光滑度和更好的衰减性并且其光滑性和衰减性可以根据需要自由调节。改进后的算法插值精度更高且实现简单、便于应用,弥补了传统插值算法的不足。通过对实测重力场数据的插值试验,运用本文改进的算法可使插值误差统计特征多项指标均有一定的提高。",Keywords:Shepardmethod/datainterpolation/scattereddata/gravityfieldinterpolation,"Abstract:Shepardmethodisappliedinmanysciencefields.BasedonthebasicprinciplesofShepardmodel,thestructureofthecostfunctionandtheselectionofthescattereddataareimprovedinthisarticle.Thesmoothnessanddecaycapacityoftheimprovedcostfunctionisbetterandcanbeadjustedfreelydependingonthedemand.Asaresult,theinterpolationaccuracyisincreasedandtheimplementoftheimprovedmethodismoreconvenientinapplication.Intheend,theexperimentsaremadeontherealgravityfielddata,theseveralstatisticalcharacteristicsoftheerrorisimprovedusingthemodifiedShpardmethodinthisarticle,whichindicatedourworkissuccessful.",,ImprovedShepardMethodandItsApplicationinGravityFieldDataInterpolation,关键词:Shepard模型/数据插值/散乱数据/重力插值,,改进的Shepard算法及其在重力异常插值中的应用,http://ch.whu.edu.cn:80/article/id/919
"摘要:针对非线性系统中杂波环境下的集中式多传感器多目标跟踪问题,提出了一种基于数据压缩技术的多传感器不敏滤波算法。仿真结果表明,与MSJPDA/EKF算法相比,本文提出的算法具有更高的跟踪精度和稳定性,同时所选取的粗关联准则使算法的计算量减少了62%。",Keywords:UKF/dataassociation/multisensor/multitargettracking/nonlinearity,"Abstract:Anovelmultisensormultitargetunscentedfilteralgorithmbasedondatacompression,SD-DCUKF,isproposedforthecentralizedmultsisensormultitargettrackingproblemofnonlinearsysteminclutter.Inthenewalgorithm,themeasurementsfrommultiplesensorsarefirstcombinedaccordingtotheruleofgeneralizedS-Dassignmentalgorithmandtheoptimalpartitioncanbeachieved.Inordertoreducethecomputationburden,anewcoarseassociationruleisproposedforS-Dassignment.Thenintheoptimalpartition,themeasurementsfromthesametargetaredealtwithbyuseofthemethodofdatacompression.Basedonthese,UKFisusedforthepropagationofstatedistributioninnonlinearsystemandtheSD-DCUKFalgorithmisderived.Accordingtothesimulationresults,theaccuracyandrobustnessofproposedalgorithmareimprovedcomparedwiththeMSJPDA/EKFalgorithm.Furthermore,themethodofcoarseassociationproposedmakesthecomputationtimedecreaseby62percent.",,MultisensorUnscentedFilterAlgorithmBasedonDataCompression,关键词:不敏卡尔曼滤波/数据关联/多传感器/多目标跟踪/非线性,,基于数据压缩的多传感器不敏滤波算法,http://ch.whu.edu.cn:80/article/id/908
"摘要:为提高利用逆Stokes公式反演测高重力的精度,将中央区大地水准面高表示成双三次多项式插值形式,引入了非奇异变换,推导出了重力异常的计算公式。大地水准面高理论模型下的分析表明,该公式有较高的精度。以分辨率为2′×2′的大地水准面高数据为背景场进行了实际计算,结果说明中央区对反演重力异常有不容忽视的贡献。本文导出的公式可为高精度重力异常的反演提供理论依据。",Keywords:satellitealtimetry/inverseStokesformula/non-singulartransformation/gravityanomaly/innermostareaeffects,"Abstract:InordertoimprovetheprecisionofthealtimetrygravitycomputedbytheinverseStokesformula,thegeoidalheightoftheinnermostareaisexpressedasdoublecubicpolynomial,andaformulatocalculategravityanomalyofthisareaisderivedafterthenon-singulartransformationisintroduced.Theanalysisbasedonthetheoreticalmodelofthegeoidalheightshowsthattheaccuracyofthisformulaisquitehigh.Apracticalcalculationisdonebasedonthegeoidalheightdatawitharesolutionof2′×2′,andtheresultsindicatethatthecontributionoftheinnermostareatothegravityanomalyrecovershouldnotbeignored.Theformuladerivedinthispapercouldprovidetheoreticalbasisforthegravityanomalyrecoverywithhighprecision.",,CalculationofInnermostAreaEffectsinAltimetryGravityRecoveryBasedontheInverseStokesFormula,关键词:卫星测高/逆Stokes公式/非奇异变换/重力异常/中央区效应,,基于逆Stokes公式的测高重力反演中央区效应计算,http://ch.whu.edu.cn:80/article/id/907
"摘要:用概率统计方法对仰光(Yangon)及其周边地区的地震危险性进行了评估研究。根据常用的复现法和最大量级值的不同,将地震源区域划分为9个不同的区域。本研究区域为13°37′N~20°2′N、93°35′E~99°5′E,并给出了50a内地震发生可能性超过2%和10%的地震危险性分布图以及峰值加速度值。",Keywords:seismichazard/assessment/peakgroundacceleration,"Abstract:ThispaperinvestigatedtheseismichazardassessmentfortheYangonanditssurroundingareasusingtheprobabilisticapproach.Theseismicsourcesaredefinedspatiallyinninesourcezones,characterizedbyacommonlyusedrecurrencelawandamaximummagnitudevalue.ThepresentstudyareaissituatedbetweenthelatitudesofN13°37′andN20°2′andthelongitudesofE93°35′andE99°5′.ThestudyareasofninesourcezonesarecenteredatYangonwiththeradiusabout200km.TheseismichazardmapsforYangonanditssurroundingareasincludingthepeakgroundaccelerationvaluesfor2%and10%exceedancein50yearswereprovidedinthisstudy.",,SeismicHazardAssessmentinYangon(Burma)andItsSurroundingAreas,关键词:地震危险性/评估/峰值加速度,,缅甸Yangon及其周边地区地震危险性评估,http://ch.whu.edu.cn:80/article/id/918
