abstract,authors,en_abstract,en_keywords,en_title,keywords,pdf_url,title,url
"模拟分析了地表层湿度反演过程中地表及大气各种因素(卫星扫描角、地表粗糙度、地表植被覆盖和大气)对反演结果的影响情况;应用正演模拟技术得到了利用TMI低频10GHz通道微波极化比反演地表层湿度信息时,斜率和截距随像元植被覆盖度可调的反演方程;确定了反演方程中斜率、截距系数随像元植被覆盖度变化的对数关系和线性关系;反演技术中综合应用了多种途径获取到的被动微波像元中动态的植被覆盖信息;尝试了将这些因子用于地表层湿度反演的可行性;对于反演结果,研究工作中利用地表HUBEX外场观测资料进行了对比分析,得到了空间分布特征和时间演变趋势比较一致的对比分析结果。",,,Key Words:passive microwave forward simulation surface soil moisture remote sensing retrieval,Retrieving Soil Moisture from TRMM/TMI,关键词:被动微波 正演模拟 地表层湿度 遥感反演,,利用TRMM／TMI资料提取地表层湿度信息试验,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050226&flag=1
"在比较分析传统地图和GIS的地理学语言功能基础上,指出了虚拟地理环境对现实世界抽象表达的多维特征、多视点和多重细节的多模态可视表现、多种自然交互方式和跨时间、空间与尺度的地理协同以及多感知的空间认知能力等。说明虚拟地理环境提供了一种综合表意系统和更接近自然的多感知的空间认知能力,使得从现实世界到人类大脑的信息带宽最大化,提供了超越现实的抽象表示与解析理解能力,达到了增强现实的目的。虚拟地理环境作为继GIS之后新一代地理学语言的显著特征是以用户为中心、提供最接近人类自然的交流方式与表达形式。",,,Key Words:virtual geographic environments integrated ideographic system geographic language user-centered,The Linguistic Characteristics of Virtual Geographic Environments,关键词:虚拟地理环境 综合表意系统 地理学语言 用户为中心,,虚拟地理环境的地理学语言特征,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050225&flag=1
"在海洋渔业GIS应用中,用现有GIS直接计算渔区温度水平梯度时,由实际距离问题引起的相对误差达26％、绝对误差达0.124℃／10km,同时还存在渔区格网不规则问题和渔区格点值问题。本文提出了基于SST等值线计算渔区温度水平梯度一种新的GIS算法。该算法的结果优于用ArcGISTIN计算的结果,并可用于计算盐度、叶绿素等其它海洋要素的水平梯度。",,,Key Words:marine fishery GIS horizontal temperature gradient error analysis fishing grid multi-section interpolating,Error Analysis and a New Algorithm to Calculate Horizontal Temperature Gradient in Marine Fishery GIS,关键词:海洋渔业GIS 渔区 温度水平梯度 多剖面内插 SST等值线,,海洋渔业GIS中温度水平梯度计算的误差分析和新算法研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050224&flag=1
"预测树方法是一种有效的无损多光谱图像压缩技术,将自适应线性预测方法与传统预测树方法相结合,提出了一种多光谱遥感图像的误差补偿预测树压缩方法。该方法利用多光谱图像谱间的局部统计冗余和结构冗余建立自适应预测器,对传统预测树方法产生的误差进行补偿,从而进一步减少了多光谱图像的数据量;并且利用多光谱图像的局部平稳特性对算法进行了简化。实验结果表明,该方法得到的压缩比与原始预测树方法相比有明显提高,同时算法简化后可以使计算复杂度大幅度降低。",,,Key Words:multispectral imagery lossless compression prediction tree error compensation,Lossless Compression of Multispectral Imagery by Error Compensated Prediction Tree,关键词:多光谱遥感图像 无损压缩 预测树 误差补偿,,基于误差补偿预测树的多光谱遥感图像无损压缩方法,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050223&flag=1
"在卫星遥感中,需要校正因地球形状、地球自转、卫星轨道变化以及姿态偏离等因素造成的图像畸变。分析了卫星姿态偏离对AVHRR图像横向比例畸变和纵向扭曲畸变的影响,指出与地球曲率一样,卫星滚动也可使图像产生横向比例畸变,并提出了相应的校正模型。",,,Key Words:AVHRR image attitude deviation transverse proportion distortion GCPs/GCBs,The Effects of Attitude Deviation on AVHRR Image Navigation,关键词:AVHRR图像 姿态偏离 横向比例畸变 GCPs/GCBs,,姿态偏离对AVHRR图像导航的影响,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050222&flag=1
"混合像元的存在是影响遥感图像分类精度的主要原因,模糊分类是进行混合像元分解的重要方法,其效果的好坏取决于各像元分类后对各类别的隶属度值能否准确地反映像元的类别组成。当非监督分类中的聚类数目与实际类别数目不符,或者监督分类中训练样本存在未训练类别时,常用的模糊c-均值(FCM)方法的效果将大大降低,而可能性c-均值(PCM)方法则可以解决这个问题。该文提出了基于PCM算法的遥感图像混合像元分解方法,并用监督分类方法实例说明PCM方法的优越性。",,,Key Words:fuzzy c-means (FCM) possibilistic c-means (PCM) untrained types,Possibilistic c-Means Algorithm Improving the Pixel Unmixing of Remotely Sensed Image,关键词:模糊c-均值(FCM) 可能性c-均值(PCM) 未训练类别,,基于PCM改进算法的遥感混合像元模拟分析,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050221&flag=1
"简要介绍了偏最小二乘法的原理、算法及优点。将该方法应用于黄海和南海二类水体光谱的水色要素反演,交叉检验结果表明反演精度高,预报相对误差不超过38％。该方法应用于加有5％随机噪声的人工合成光谱的水色要素反演,结果表明模型的稳健性强,预报相对误差不超过5％。研究结果表明,偏最小二乘法适合于处理变量多样本数又少的问题,适合于从二类水体光谱中提取水色要素信息。",,,Key Words:case Ⅱ water spectra oceanic color constituents' retrieval partial least squares regression,Retrieval of Oceanic Color Constituents from Case n Water Reflectance by Partial Least Squares Regression,关键词:二类水体光谱 水色要素反演 偏最小二乘法,,用偏最小二乘法反演二类水体的水色要素,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050220&flag=1
"叶面积指数是陆地生态系统的一个十分重要的结构参数。用遥感数据求取叶面积指数可以利用光谱的信息,比如通过植被指数来拟合一个经验关系,但很多植被指数明显受土壤背景的影响,对于有明显行结构的农作物,土壤的影响很难消除,植被指数的方法误差较大。多角度遥感包含了大量的地面目标的立体结构信息,具备求解植被特征参数的潜力,但通常多角度遥感反演对光谱信息的利用不足。与以往的反演方法相区别,该文利用行播作物二向反射模型,将多角度与多光谱数据结合进行行播作物LAI反演实验,并对反演算法进行了详细的敏感性分析实验,结果表明采用多角度、多光谱遥感数据相结合的方法可以有效反演行播作物的叶面积指数。",,,Key Words:leaf area index inversion row crop multiangular multispectral the analysis of uncertainty and sensibility,The Approach on Leaf Area Index Inversion Using Multiangular and Multispectral Data Sets,关键词:叶面积指数 反演 行播作物 多角度 多光谱 敏感性与不确定性分析,,多光谱多角度遥感数据综合反演叶面积指数方法研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050219&flag=1
"基于地面实测的水稻冠层反射光谱,计算了常用的8个植被指数,并在产量形成生理特征的基础上,系统分析了水稻籽粒产量及其构成因素与各植被指数之间的关系。结果表明,通过单一生育时期或某个生育阶段的光谱植被指数来直接估测产量精度较低。发现叶面积氮指数(叶片氮百分含量与叶面积指数的乘积)的变化趋势很好地反映了产量的形成过程,且与光谱植被指数极显著正相关,基于此建立了水稻的光谱植被指数-累积叶面积氮指数-产量估测模型(VICLANIYieldModel)。并将其与LAD-产量模型、多生育期复合估产模型进行了比较,表明本模型预测精度最高。",,,Key Words:rice vegetation index leaf area nitrogen index (LANI) yield yield components forecasting model,Rice Yield Forecasting Model with Canopy Reflectance Spectra,关键词:水稻 光谱植被指数 叶面积氮指数 产量 产量构成 预测模型,,基于冠层反射光谱的水稻产量预测模型,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050115&flag=1
利用NDVI-Ts空间进行全国土地覆盖分类的方法。该方法利用1995年NOAA 10天合成的ch4、ch5通道亮温，先计算出陆地表面温度(Ts)，然后用最大值合成法计算每月的最大Ts和NDVI，以每月最大Ts和NDVI建立NDVI-Ts空间。根据像素点(NDVI，Ts)在空间中的位置矢量，求出矢量在空间中的方向角度，并作归一化处理，得到温度植被角度(NTVA)。对12个月NTVA做主成分变换提取前三个主分量，辅以全年总NDVI和大于O℃ Ts积温，用模糊K-均值法进行全国土地覆盖分类。研究结果表明，基于NDVI-Ts空间的NTVA与NDVI、Ts一起作为分类特征在土地覆盖分类中具有较高的分类精度，能够取得较好的分类效果。,,,Key Words:land cover classification NDVI Ts NTVA,A Method of Land Cover Classification for China Based on NDVI-Ts Space,关键词:土地覆盖分类 NDVI Ts NTVA,,NDVI-Ts空间全国土地覆盖分类方法研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050114&flag=1
